"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"인천교통공사 계양역",인천광역시 계양구 다남로 24,인천광역시 계양구 귤현동 451-8,다목적,19,41,역사 내,7,1999-10,032-710-9105,37.571539,126.736319,2019-04-30
"인천교통공사 귤현역",인천광역시 계양구 장제로 1136,인천광역시 계양구 귤현동 357-2,다목적,19,41,역사 내,7,1999-10,032-515-9104,37.566362,126.742498,2019-04-30
"인천교통공사 박촌역",인천광역시 계양구 장제로 992,인천광역시 계양구 박촌동 18-2,다목적,25,41,역사 내,7,1999-10,032-519-3122,37.553525,126.744946,2019-04-30
"인천교통공사 임학역",인천광역시 계양구 장제로 875,인천광역시 계양구 임학동 93,다목적,15,41,역사 내,7,1999-10,032-541-3113,37.545058,126.738642,2019-04-30
"인천교통공사 계산역",인천광역시 계양구 경명대로 1089,인천광역시 계양구 계산동 1014,다목적,26,41,역사 내,7,1999-10,032-546-3151,37.543243,126.728436,2019-04-30
"인천교통공사 경인교대역",인천광역시 계양구 계양대로 162,인천광역시 계양구 계산동 1034,다목적,25,41,역사 내,7,1999-10,032-553-3394,37.538272,126.722603,2019-04-30
"인천교통공사 작전역",인천광역시 계양구 게양대로 73,인천광역시 계양구 작전동 878,다목적,18,41,역사 내,7,1999-10,032-543-3116,37.530271,126.722548,2019-04-30
"인천교통공사 갈산역",인천광역시 부평구 부평대로 286,인천광역시 부평구 청천동 112,다목적,19,41,역사 내,7,1999-10,032-511-4245,37.517124,126.721566,2019-04-30
"인천교통공사 부평구청역",인천광역시 부평구 부평대로 189,인천광역시 부평구 청천동 112-1,다목적,18,41,역사 내,7,1999-10,032-513-9103,37.508768,126.720547,2019-04-30
"인천교통공사 부평시장역",인천광역시 부평구 부평대로 69,인천광역시 부평구 부평동 224-1,다목적,25,41,역사 내,7,1999-10,032-512-3119,37.498495,126.722282,2019-04-30
"인천교통공사 부평역",인천광역시 부평구 광장로 15,인천광역시 부평구 부평동 738-21,다목적,41,41,역사 내,7,1999-10,032-515-9103,37.490541,126.723437,2019-04-30
"인천교통공사 동수역",인천광역시 부평구 경인로 877,인천광역시 부평구 부평동 686,다목적,21,41,역사 내,7,1999-10,032-516-3121,37.485409,126.718464,2019-04-30
"인천교통공사 부평삼거리역",인천광역시 부평구 경인로 765,인천광역시 부평구 십정동 592,다목적,19,41,역사 내,7,1999-10,032-516-3122,37.478267,126.710494,2019-04-30
"인천교통공사 간석오거리역",인천광역시 남동구 경인로 674,인천광역시 남동구 간석동 215-1,다목적,27,41,역사 내,7,1999-10,032-434-3123,37.466921,126.707861,2019-04-30
"인천교통공사 인천시청역",인천광역시 남동구 예술로 264,인천광역시 남동구 간석동 927,다목적,21,41,역사 내,7,1999-10,032-441-3124,37.457615,126.702216,2019-04-30
"인천교통공사 예술회관역",인천광역시 남동구 예술로 172,인천광역시 남동구 구월동 1408,다목적,26,41,역사 내,7,1999-10,032-441-3125,37.449334,126.700991,2019-04-30
"인천교통공사 인천터미널역",인천광역시 미추홀구 예술로 85,인천광역시 미추홀구 관교동 14,다목적,25,41,역사 내,7,1999-10,032-441-3126,37.441917,126.699727,2019-04-30
"인천교통공사 문학경기장역",인천광역시 연수구 예술로 2,인천광역시 연수구 선학동 117-1,다목적,23,41,역사 내,7,1999-10,032-441-3127,37.434964,126.698373,2019-04-30
"인천교통공사 선학역",인천광역시 연수구 경원대로 480,인천광역시 연수구 선학동 241-2,다목적,18,41,역사 내,7,1999-10,032-821-3128,37.426985,126.698872,2019-04-30
"인천교통공사 신연수역",인천광역시 연수구 경원대로 368,인천광역시 연수구 연수동 637,다목적,16,41,역사 내,7,1999-10,032-813-3129,37.418032,126.694009,2019-04-30
"인천교통공사 원인재역",인천광역시 연수구 경원대로 285,인천광역시 연수구 연수동 647,다목적,23,41,역사 내,7,1999-10,032-816-3130,37.412364,126.687893,2019-04-30
"인천교통공사 동춘역",인천광역시 연수구 경원대로 180,인천광역시 연수구 동춘동 926-11,다목적,23,41,역사 내,7,1999-10,032-814-5702,37.404676,126.680835,2019-04-30
"인천교통공사 동막역",인천광역시 연수구 경원대로 80,인천광역시 연수구 동춘동 927-1,다목적,19,41,역사 내,7,2009-11,032-816-5584,37.398173,126.673561,2019-04-30
"인천교통공사 캠퍼스타운역",인천광역시 연수구 송도국제대로 66,인천광역시 연수구 송도동 3-47,다목적,38,41,역사 내,7,2009-11,032-451-3183,37.388209,126.661985,2019-04-30
"인천교통공사 테크노파크역",인천광역시 연수구 송도국제대로 150,인천광역시 연수구 송도동 7-51,다목적,36,41,역사 내,7,2009-11,032-451-3184,37.382311,126.656355,2019-04-30
"인천교통공사 지식정보산업단지역",인천광역시 연수구 인천타워대로 57,인천광역시 연수구 송도동 48,다목적,31,41,역사 내,7,2009-11,032-451-3185,37.378021,126.645412,2019-04-30
"인천교통공사 인천대입구역",인천광역시 연수구 인천타워대로 155,인천광역시 연수구 송도동 78-1,다목적,35,41,역사 내,7,2009-11,032-451-3186,37.386239,126.639351,2019-04-30
"인천교통공사 센트럴파크역",인천광역시 연수구 인천타워대로 240,인천광역시 연수구 송도동 78,다목적,36,41,역사 내,7,2009-11,032-451-3187,37.392833,126.635002,2019-04-30
"인천교통공사 국제업무지구역",인천광역시 연수구 인천타워대로 334,인천광역시 연수구 송도동 78,다목적,41,41,역사 내,7,2009-11,032-451-3188,37.400464,126.630094,2019-04-30
"인천교통공사 검단오류역",인천광역시 서구 검단로 187 (오류동),인천광역시 서구 오류동 450-4,다목적,25,200,역사 내,7,2016-07,032-451-4301,37.595162,126.629206,2019-04-30
"인천교통공사 왕길역",인천광역시 서구 검단로 323 (왕길동),인천광역시 서구 왕길동 474-8,다목적,26,200,역사 내,7,2016-07,032-451-4302,37.592191,126.642284,2019-04-30
"인천교통공사 검단사거리역",인천광역시 서구 검단로 473 (왕길동),인천광역시 서구 왕길동 234-1,다목적,24,200,역사 내,7,2016-07,032-451-4303,37.601693,126.656545,2019-04-30
"인천교통공사 마전역",인천광역시 서구 완정로 68 (마전동),인천광역시 서구 마전동 999-25,다목적,24,200,역사 내,7,2016-07,032-451-4304,37.597756,126.667195,2019-04-30
"인천교통공사 완정역",인천광역시 서구 원당대로 650 (당하동),인천광역시 서구 당하동 1077-10,다목적,33,200,역사 내,7,2016-07,032-451-4305,37.592867,126.672961,2019-04-30
"인천교통공사 독정역",인천광역시 서구 서곶로 760 (백석동),인천광역시 서구 백석동 74-1,다목적,31,200,역사 내,7,2016-07,032-451-4306,37.584927,126.675981,2019-04-30
"인천교통공사 검암역",인천광역시 서구 검바위로 4 (검암동),인천광역시 서구 검암동 370-25,다목적,30,200,역사 내,7,2016-07,032-451-4307,37.568611,126.671221,2019-04-30
"인천교통공사 감바위역",인천광역시 서구 서곶로 492 (검암동),인천광역시 서구 검암동 244-24,다목적,27,200,역사 내,7,2016-07,032-451-4308,37.561091,126.677529,2019-04-30
"인천교통공사 아시아드경기장역",인천광역시 서구 서곶로 382 (연희동),인천광역시 서구 연희동 94-6,다목적,26,200,역사 내,7,2016-07,032-451-4309,37.551373,126.677075,2019-04-30
"인천교통공사 서구청역",인천광역시 서구 서곶로 294 (심곡동),인천광역시 서구 심곡동 산7-4,다목적,39,200,역사 내,7,2016-07,032-451-4310,37.543839,126.676795,2019-04-30
"인천교통공사 가정역",인천광역시 서구 봉오대로 234 (가정동),인천광역시 서구 가정동 산116-5,다목적,51,200,역사 내,7,2016-07,032-451-4311,37.524805,126.675387,2019-04-30
"인천교통공사 가정중앙시장역",인천광역시 서구 가남로 400 (가정동),인천광역시 서구 가정동 529,다목적,31,200,역사 내,7,2016-07,032-451-4312,37.517511,126.676784,2019-04-30
"인천교통공사 석남역",인천광역시 서구 가석로 257 (석남동),인천광역시 서구 석남동 600,다목적,27,200,역사 내,7,2016-07,032-451-4313,37.507211,126.676304,2019-04-30
"인천교통공사 서부여성화관역",인천광역시 서구 가석로 169 (석남동),인천광역시 서구 석남동 563-4,다목적,29,200,역사 내,7,2016-07,032-451-4314,37.500298,126.675875,2019-04-30
"인천교통공사인천가좌역",인천광역시 서구 가석로 67 (가좌동),인천광역시 서구 가좌동 110,다목적,35,200,역사 내,7,2016-07,032-451-4315,37.493762,126.675465,2019-04-30
"인천교통공사 가재울역",인천광역시 서구 열우물로 252 (가좌동),인천광역시 서구 가좌동 288,다목적,26,200,역사 내,7,2016-07,032-451-4316,37.484152,126.683883,2019-04-30
"인천교통공사 주안국가산업단지역",인천광역시 서구 방축로 343 (가좌동),인천광역시 서구 가좌동 606-11,다목적,32,200,역사 내,7,2016-07,032-451-4317,37.473599,126.681702,2019-04-30
"인천교통공사 주안역",인천광역시 미추홀구 주안로 지하 91-1 (주안동),인천광역시 미추홀구 주안동 125,다목적,35,200,역사 내,7,2016-07,032-451-4318,37.465517,126.680441,2019-04-30
"인천교통공사 시민공원역",인천광역시 미추홀구 경인로 371 (주안동),인천광역시 미추홀구 주안동 242-7,다목적,33,200,역사 내,7,2016-07,032-451-4319,37.458739,126.680091,2019-04-30
"인천교통공사 석바위시장역",인천광역시 미추홀구 구월로 19 (주안동),인천광역시 미추홀구 주안동 1597,다목적,28,200,역사 내,7,2016-07,032-451-4320,37.457659,126.692387,2019-04-30
"인천교통공사 인천시청역",인천광역시 남동구 구월로 지하 99 (간석동),인천광역시 남동구 간석동 493-27,다목적,39,200,역사 내,7,2016-07,032-451-4321,37.456904,126.701523,2019-04-30
"인천교통공사 석천사거리역",인천광역시 남동구 구월로 지하 181 (구월동),인천광역시 남동구 구월동 73-3,다목적,31,200,역사 내,7,2016-07,032-451-4322,37.4569323,126.710383,2019-04-30
"인천교통공사 모래내시장역",인천광역시 남동구 구월로 지하 255 (구월동),인천광역시 남동구 구월동 341-6,다목적,29,200,역사 내,7,2016-07,032-451-4323,37.455842,126.719578,2019-04-30
"인천교통공사 만수역",인천광역시 남동구 구월로 지하 367 (만수동),인천광역시 남동구 만수동 993,다목적,25,200,역사 내,7,2016-07,032-451-4324,37.454962,126.731764,2019-04-30
"인천교통공사 남동구청역",인천광역시 남동구 인주대로 지하 889 (만수동),인천광역시 남동구 만수동 1006,다목적,30,200,역사 내,7,2016-07,032-451-4325,37.448179,123.736581,2019-04-30
"인천교통공사 인천대공원역",인천광역시 남동구 수인로 3677 (장수동),인천광역시 남동구 장수동 606-9,다목적,27,200,역사 내,7,2016-07,032-451-4326,37.448475,126.753051,2019-04-30
"인천교통공사 운연역",인천광역시 남동구 매소홀로 1229 (운연동),인천광역시 남동구 운연동 131-7,다목적,23,200,역사 내,7,2016-07,032-451-4327,37.437924,126.759409,2019-04-30
